구,학교수,사설학원,학생,보육시설,평균,순위
강남구,0.294,1.0,0.278,0.135,0.427,9
강동구,0.253,0.319,0.244,0.329,0.286,19
강북구,0.1,0.1,0.208,0.656,0.266,24
강서구,0.357,0.222,0.228,0.638,0.361,16
관악구,0.105,0.149,0.163,0.7,0.279,23
광진구,0.309,0.222,0.83,0.603,0.491,6
구로구,0.278,0.173,0.421,0.779,0.413,10
금천구,0.301,0.149,0.1,0.965,0.379,13
노원구,0.707,0.27,0.604,1.0,0.645,2
도봉구,0.323,0.149,0.298,0.991,0.44,8
동대문구,0.32,0.173,1.0,0.629,0.531,4
동작구,0.182,0.222,0.787,0.453,0.411,12
마포구,0.174,0.392,0.691,0.391,0.412,11
서대문구,0.227,0.197,0.783,0.25,0.364,15
서초구,0.125,0.586,0.107,0.1,0.23,25
성동구,0.406,0.173,0.525,0.374,0.37,14
성북구,0.427,0.173,0.852,0.532,0.496,5
송파구,0.246,0.319,0.248,0.321,0.283,21
양천구,0.351,0.465,0.288,0.744,0.462,7
영등포구,0.27,0.222,0.165,0.479,0.284,20
용산구,0.243,0.1,0.342,0.444,0.282,22
은평구,0.343,0.197,0.212,0.471,0.306,18
종로구,0.99,0.319,0.56,0.797,0.666,1
중구,1.0,0.149,0.634,0.603,0.596,3
중랑구,0.215,0.1,0.355,0.612,0.321,17
