구,미용업,세탁업,목욕장업,대규모점포,편의점,평균,순위
종로구,0.354,0.621,0.494,0.46,1.0,0.586,2
중구,1.0,1.0,1.0,1.0,0.573,0.915,1
용산구,0.198,0.393,0.309,0.773,0.549,0.444,4
성동구,0.165,0.463,0.089,0.392,0.442,0.31,7
광진구,0.406,0.542,0.1,0.0,0.418,0.293,9
동대문구,0.193,0.403,0.103,0.284,0.358,0.268,10
중랑구,0.203,0.306,0.042,0.121,0.356,0.206,14
성북구,0.093,0.312,0.045,0.44,0.349,0.248,11
강북구,0.404,0.544,0.179,0.263,0.293,0.337,6
도봉구,0.117,0.202,0.054,0.208,0.251,0.167,20
노원구,0.0,0.0,0.0,0.124,0.247,0.074,25
은평구,0.208,0.242,0.042,0.144,0.227,0.173,18
서대문구,0.118,0.193,0.118,0.222,0.216,0.174,17
마포구,0.798,0.338,0.098,0.421,0.191,0.369,5
양천구,0.179,0.132,0.068,0.372,0.189,0.188,15
강서구,0.258,0.185,0.059,0.097,0.176,0.155,23
구로구,0.162,0.312,0.08,0.223,0.124,0.18,16
금천구,0.227,0.57,0.15,0.428,0.104,0.296,8
영등포구,0.272,0.323,0.21,0.326,0.1,0.246,12
동작구,0.041,0.23,0.052,0.15,0.096,0.114,24
관악구,0.144,0.418,0.036,0.158,0.08,0.167,20
서초구,0.297,0.433,0.247,0.079,0.073,0.226,13
강남구,0.952,0.669,0.408,0.175,0.062,0.453,3
송파구,0.225,0.263,0.078,0.279,0.018,0.172,19
강동구,0.26,0.243,0.024,0.265,0.0,0.158,22
