구,경찰서,소방서,인식,cctv,응급실,교통사고화재,평균,순위
강남구,0.882,0.2,0.8,0.46,0.24,0.712,0.549,3
강동구,0.851,0.195,0.311,0.213,0.232,0.864,0.444,18
강북구,0.906,0.277,0.51,0.349,0.215,0.864,0.52,8
강서구,0.737,0.178,0.592,0.356,0.225,0.508,0.433,19
관악구,0.827,0.135,0.717,0.279,0.254,0.864,0.513,9
광진구,0.979,0.168,0.718,0.22,0.202,0.712,0.5,10
구로구,0.918,0.3,0.338,0.368,0.188,0.712,0.471,14
금천구,0.908,0.1,0.393,0.329,0.175,0.301,0.368,24
노원구,0.712,0.167,0.194,0.178,0.2,0.712,0.36,25
도봉구,0.91,0.257,0.723,0.332,0.151,0.301,0.446,17
동대문구,0.999,0.304,0.696,0.323,0.424,0.508,0.542,5
동작구,0.938,0.195,0.726,0.223,0.19,0.508,0.463,16
마포구,0.862,0.33,0.522,0.278,0.146,0.712,0.475,12
서대문구,0.952,0.271,0.543,0.293,0.219,0.864,0.524,7
서초구,0.726,0.281,0.653,0.262,0.14,0.508,0.428,21
성동구,0.98,0.294,0.745,0.433,0.156,0.301,0.485,11
성북구,0.925,0.165,0.525,0.307,0.14,0.508,0.428,21
송파구,0.815,0.144,0.241,0.312,0.152,0.864,0.421,23
양천구,0.955,0.205,0.177,0.271,0.269,0.949,0.471,14
영등포구,0.925,0.262,0.351,0.33,0.709,0.712,0.548,4
용산구,0.892,0.503,0.664,0.431,0.177,0.508,0.529,6
은평구,0.825,0.142,0.177,0.286,0.173,0.985,0.431,20
종로구,1.0,0.983,0.997,0.48,0.75,0.016,0.704,2
중구,1.0,1.0,0.971,0.821,0.694,0.301,0.798,1
중랑구,0.941,0.194,0.441,0.303,0.242,0.712,0.472,13
