구,PC방,오락실,노래방,영화관,평균
종로구,0.138,0.426,0.428,0.526,0.379
중구,1.0,0.306,0.345,1.0,0.663
용산구,0.0,0.164,0.0,0.247,0.103
성동구,0.098,0.049,0.359,0.098,0.151
광진구,0.125,0.624,0.795,0.217,0.44
동대문구,0.115,0.001,0.287,0.065,0.117
중랑구,0.671,0.832,0.716,0.093,0.578
성북구,0.039,0.367,0.009,0.006,0.105
강북구,0.787,1.0,1.0,0.123,0.727
도봉구,0.805,0.699,0.557,0.0,0.515
노원구,0.084,0.367,0.26,0.088,0.2
은평구,0.609,0.264,0.131,0.051,0.264
서대문구,0.04,0.083,0.084,0.135,0.085
마포구,0.013,0.137,0.263,0.185,0.149
양천구,0.218,0.547,0.235,0.05,0.262
강서구,0.114,0.622,0.28,0.102,0.28
구로구,0.287,0.36,0.581,0.113,0.335
금천구,0.177,0.693,0.716,0.102,0.422
영등포구,0.24,0.332,0.718,0.133,0.356
동작구,0.284,0.48,0.179,0.011,0.239
관악구,0.11,0.21,0.333,0.025,0.169
서초구,0.037,0.056,0.485,0.03,0.152
강남구,0.077,0.0,0.143,0.369,0.147
송파구,0.217,0.286,0.529,0.095,0.282
강동구,0.26,0.57,0.254,0.087,0.293
