구,건강,교육,상권,생활,스포츠,안전,여가,체육,환경,집값,평균
종로구,0.663,0.666,0.438,0.586,0.16,0.704,0.379,0.36,0.54,0.699,0.520 
중구,0.677,0.596,0.225,0.915,1,0.798,0.663,0.878,0.367,0.66,0.678 
용산구,0.201,0.282,0.138,0.444,0.116,0.529,0.103,0.156,0.464,0.292,0.273 
성동구,0.25,0.37,0.258,0.31,0.127,0.485,0.151,0.175,0.311,0.495,0.293 
광진구,0.308,0.491,0.249,0.293,0.339,0.5,0.44,0.369,0.399,0.558,0.395 
동대문구,0.539,0.531,0.219,0.268,0.121,0.542,0.117,0.224,0.285,0.77,0.362 
중랑구,0.274,0.321,0.189,0.206,0.087,0.472,0.578,0.179,0.451,0.898,0.366 
성북구,0.208,0.496,0.245,0.248,0.127,0.428,0.105,0.196,0.378,0.795,0.323 
강북구,0.3,0.266,0.211,0.337,0.032,0.52,0.727,0.098,0.542,0.869,0.390 
도봉구,0.35,0.44,0.142,0.167,0.144,0.446,0.515,0.345,0.421,0.88,0.385 
노원구,0.242,0.645,0.32,0.074,0.116,0.36,0.2,0.231,0.517,0.864,0.357 
은평구,0.272,0.306,0.296,0.173,0.151,0.431,0.264,0.213,0.333,0.807,0.325 
서대문구,0.346,0.364,0.256,0.174,0.08,0.524,0.085,0.172,0.337,0.742,0.308 
마포구,0.25,0.412,0.32,0.369,0.156,0.475,0.149,0.365,0.365,0.613,0.347 
양천구,0.326,0.462,0.345,0.188,0.228,0.471,0.262,0.339,0.341,0.58,0.354 
강서구,0.29,0.361,0.316,0.155,0.182,0.433,0.28,0.346,0.457,0.776,0.360 
구로구,0.334,0.413,0.326,0.18,0.091,0.471,0.335,0.176,0.317,0.883,0.353 
금천구,0.3,0.379,0.326,0.296,0.184,0.368,0.422,0.293,0.343,0.9,0.381 
영등포구,0.429,0.284,0.305,0.246,0.312,0.548,0.356,0.391,0.232,0.611,0.371 
동작구,0.223,0.411,0.233,0.114,0.065,0.463,0.239,0.131,0.35,0.653,0.288 
관악구,0.197,0.279,0.304,0.167,0.07,0.513,0.169,0.146,0.295,0.836,0.298 
서초구,0.421,0.23,0.725,0.226,0.398,0.428,0.152,0.563,0.504,0.121,0.377 
강남구,0.772,0.427,0.9,0.453,0.435,0.549,0.147,0.677,0.407,0,0.477 
송파구,0.332,0.283,0.423,0.172,0.189,0.421,0.282,0.25,0.4,0.339,0.309 
강동구,0.393,0.286,0.392,0.158,0.198,0.444,0.293,0.399,0.372,0.697,0.363 
