구,종합체육시설,체력단련장,체육도장업,평균
종로구,0.656,0.325,0.098,0.360 
중구,1,1,0.633,0.878 
용산구,0.243,0.224,0,0.156 
성동구,0,0.167,0.357,0.175 
광진구,0.08,0.333,0.693,0.369 
동대문구,0.081,0.156,0.436,0.224 
중랑구,0.035,0.011,0.49,0.179 
성북구,0.063,0.041,0.485,0.196 
강북구,0.045,0,0.248,0.098 
도봉구,0.043,0.099,0.894,0.345 
노원구,0,0.032,0.66,0.231 
은평구,0.029,0.084,0.526,0.213 
서대문구,0.178,0.058,0.28,0.172 
마포구,0.184,0.297,0.614,0.365 
양천구,0.061,0.158,0.797,0.339 
강서구,0.047,0.221,0.769,0.346 
구로구,0.069,0.081,0.379,0.176 
금천구,0.059,0.167,0.654,0.293 
영등포구,0.145,0.323,0.704,0.391 
동작구,0.035,0.05,0.307,0.131 
관악구,0.028,0.126,0.284,0.146 
서초구,0.523,0.536,0.631,0.563 
강남구,0.64,0.777,0.614,0.677 
송파구,0.124,0.244,0.383,0.250 
강동구,0.029,0.168,1,0.399 
